Company_Ticker,Company_Name,Aienstein_Rating,ESG_E,ESG_S,ESG_G,ESG_Summary,Fact_Market_Cap,Fact_Market_Cap_Rating
CVI,CVR Energy Inc,A,D,C,C,C,2193.57767,.5X
CVLG,Covenant Logistics Group Inc,F,D,D,B,C,348.9117145,.25X
CVS,CVS Health Corp,A,B,C,C,C,141590.37,4X
DAL,"Delta Air Lines, Inc.",D,B,C,C,C,24111.9926,4X
DRQ,"Dril-Quip, Inc.",A,D,C,B,C,1203.240496,.5X
DVAX,Dynavax Technologies Corp.,F,D,D,D,D,1355.316687,.5X
EAT,"Brinker International, Inc.",D,D,C,C,C,1654.619672,.5X
ECHO,Echo Global Logistics Inc,A,C,C,B,C,1284.575531,.5X
EGRX,Eagle Pharmaceuticals Inc,D,D,C,C,C,644.9018441,.25X
EHC,Encompass Health Corp,A,C,C,C,C,6928.446461,2X
EIX,Edison International,D,B,C,D,C,24547.91526,4X
EOSE,Eos Energy Enterprises Inc,F,D,D,B,C,220.4447409,.25X
EQIX,Equinix Inc,F,C,C,C,C,65720.48658,4X
ETH,"Ethan Allen Interiors, Inc.",D,C,C,B,C,663.7440145,.25X
EVC,Entravision Communications Corp.,D,D,D,D,D,397.8414245,.25X
EVTC,Evertec Inc,F,D,C,C,C,3068.79466,1X
EXAS,Exact Sciences Corp.,F,C,C,D,C,11517.12855,2X
FARM,Farmer Bros. Co.,A,B,C,C,C,134.2223193,.25X
FGEN,FibroGen Inc,D,D,D,B,C,1249.469984,.5X
FORM,FormFactor Inc.,D,D,C,C,C,3325.357196,1X
FOXA,Fox Corporation,A,C,C,C,C,13174.91622,2X
FUL,H.B. Fuller Company,F,B,B,C,C,3532.92292,1X
FVRR,Fiverr International Ltd,F,,,,,2704.76946,1X
GEF,Greif Inc,A,B,B,C,C,1665.008444,.5X
GEL,Genesis Energy L.P.,A,,,,,1427.581925,.5X
GGG,Graco Inc.,F,B,C,B,B,12065.23314,2X
GLYC,GlycoMimetics Inc,F,D,D,C,C,61.846812,.25X
